Name,Category,Classification,Primary_action,Secondary_action1,Secondary_action2,Primary_muscle,Synergist1,Synergist2,Equipment1,Equipment2,Media,Instructions
Flyes - Straps - Body weight,Upperbody Horizontal Push,Isolation,Shoulder Horizontal Adduction,,,Pectorals,Deltoids,,TRX,,,
Isometric Chest Squeezes,Upperbody Horizontal Push,Isolation,Shoulder Horizontal Adduction,,,Pectorals,,,Bodyweight,,,
Press - Cable Crossover - Seated,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Cable Crossover,Bench,,
Press - Pulley - Seated - Single-Arm,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Pulley,Bench,,
Press - Cable Crossover - Standing,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Cable Crossover,,,
Press - Pulley - Standing - Single-Arm,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Pulley,,,
Press - Machine,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Chest Press Machine,,,
Push Up to Side Plank,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-up,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Bosu Ball,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bosu Ball,,,
Push-Up - Clock,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Close Triceps Position,Upperbody Horizontal Push,Compound,Elbow Extension,Shoulder Horizontal Adduction,,Triceps,Pectorals,Deltoids,Bodyweight,,,
Push-Up - Decline,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,Box,,
Push-Up - Depth Jump,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Diamond,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Dive Bomber,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Feet Elevated,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bench,,,
Push-Up - Hand Release,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Incline,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bench,,,
Push-Up - Incline - Narrow-Grip,Upperbody Horizontal Push,Compound,Elbow Extension,Shoulder Horizontal Adduction,,Triceps,Pectorals,Deltoids,Bodyweight,,,
Push-Up - Incline - Wide,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bench,,,
Push-Up - Narrow,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Plyo,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Side To Side,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Single-Arm,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Staggered,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Superman,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Suspended,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Tiger-Bend,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - TRX - Feet Elevated,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,TRX,,,
Push-Up - Typewriter,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Weighted,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Push-Up - Wide,Upperbody Horizontal Push,Compound,Shoulder Horizontal Adduction,Elbow Extension,,Pectorals,Triceps,Deltoids,Bodyweight,,,
Skull Crusher - Band,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Band,,,
Skull Crusher - Barbell,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Barbell,,,
Skull Crusher - Decline,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Barbell,,,
Skull Crusher - Dumbbell,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Dumbbell,,,
Skull Crusher - EZ-Bar,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,EZ-Bar,,,
Skull Crusher - Incline,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Barbell,,,
Tate Press,Upperbody Horizontal Push,Compound,Elbow Extension,,,Triceps,,,Dumbbell,,,
Triceps Extension - Barbell - Incline,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Barbell,Inclining Bench,,
Triceps Extension - Barbell - Lying - Narrow-Grip - Behind Head,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Barbell,Bench,,
Triceps Extension - Barbell - Standing - Overhead,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Barbell,Bench,,
Triceps Extension - Low Pulley - Incline,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Low Pulley,Inclining Bench,,
Triceps Extension - Low Pulley - Kneeling,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Low Pulley,Bench,,
Triceps Extension - Low Pulley - Lying,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Low Pulley,Bench,,
Triceps Extension - Low Pulley - Rope - Overhead,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Low Pulley,Bench,,
Triceps Extension - Low Pulley - Single-Arm,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Low Pulley,Bench,,
Triceps Extension - Dumbbell - Decline,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Dumbbell,,,
Triceps Extension - Dumbbell - Lying,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Dumbbell,,,
Triceps Extension - Dumbbell - Pronated - Single-Arm,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Dumbbell,,,
Triceps Extension - Dumbbell - Pronated Grip,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Dumbbell,,,
Triceps Extension - Dumbbell - Single-Arm,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Dumbbell,,,
Triceps Extension - Dumbbell - Standing,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Dumbbell,,,
Triceps Extension - Dumbbell - Standing - Single-Arm,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Dumbbell,,,
Triceps Extension - Dumbbell - Supinated - Single-Arm,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Dumbbell,,,
Triceps Extension - EZ Bar - Decline,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,EZ-Bar,Decline Bench,,
Triceps Extension - Low Pulley,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Low Pulley,,,
Triceps Extension - Low Pulley - Standing -Single-Arm,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Low Pulley,,,
Triceps Extension - Machine,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Tricep Extension Machine,,,
Triceps Extension - Rope - Overhead,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Low Pulley,Rope Attachment,,
Triceps Extension - Sled - Overhead,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Sled,,,
Triceps Kickback - Dumbbell,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,Dumbbell,,,
Triceps Pushdown,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,High Pulley,,,
Triceps Pushdown - Rope Attachment,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,High Pulley,Rope Attachment,,
Triceps Pushdown - Supinated,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,High Pulley,Bar Attachment,,
Triceps Pushdown - V-Bar Attachment,Upperbody Horizontal Push,Isolation,Elbow Extension,,,Triceps,,,High Pulley,V-Bar Attachment,,
Chin-Up - Mixed Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Chin-Up - Neutral,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Neutral Chin-up Handles,,,
Chin-Up - Neutral - Narrow-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Neutral Chin-up Handles,,,
Chin-Up - Neutral - Sternum,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Neutral Chin-up Handles,,,
Chin-Up - Neutral - Sternum - Narrow-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Neutral Chin-up Handles,,,
Chin-Up - Neutral - Sternum - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Neutral Chin-up Handles,,,
Chin-Up - Neutral - To Eyes,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Neutral Chin-up Handles,,,
Chin-Up - Neutral - To Eyes - Narrow-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Neutral Chin-up Handles,,,
Chin-Up - Neutral - To Eyes - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Neutral Chin-up Handles,,,
Chin-Up - Neutral - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Neutral Chin-up Handles,,,
Chin-Up - Single-Arm,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Chin-Up - Supinated,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Chin-Up - Supinated - Narrow,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Chin-Up - Supinated - Sternum,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Chin-Up - Supinated - Sternum - Narrow,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Chin-Up - Supinated - Sternum - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Chin-Up - Supinated - To Eyes,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Chin-Up - Supinated - To Eyes - Narrow,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Chin-Up - Supinated - To Eyes - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Chin-Up - Supinated - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Elbow Flexion,,Latissimus,Biceps,,Chin-up Bar,,,
Muscle Up - Bar,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,Triceps,Chin-up Bar,,,
Muscle Up - Bar - Kipping,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,Triceps,Chin-up Bar,,,
Muscle Up - Rings,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,Triceps,Chin-up Bar,,,
Muscle Up - Rings - Kipping,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,Triceps,Chin-up Bar,,,
Pull Through - Low Pulley,Upperbody Vertical Pull,Isolation,Hip Extension,,,Glutes,Hamstring,,Low Pulley,,,
Pull Up - Horizontal,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-up,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-Up - Around The World,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-up - Narrow-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-Up - Negative,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-Up - Rocky,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-up - Sternum,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-up - Sternum - Narrow-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-up - Sternum - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-up - Subscapularis,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-up - To Eyes,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-up - To Eyes - Narrow-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-up - To Eyes - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-up - V-Bar,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pull-Up - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Chin-up Bar,,,
Pulldown - Behind The Neck - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - Neutral,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,Neutral Grip Attachment,,
Pulldown - Neutral - Narrow-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,Neutral Grip Attachment,,
Pulldown - Neutral - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,Neutral Grip Attachment,,
Pulldown - Pronated,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - Pronated - Narrow-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - Pronated - Staight-arm,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - Pronated - Straight-arm - Narrow-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - Pronated - Straight-arm - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - Pronated - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - Single-Arm,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,D Handle,,
Pulldown - Subscapularis,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - Supinated,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - Supinated - Narrow-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - Supinated - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,,,
Pulldown - V-Bar,Upperbody Vertical Pull,Compound,Shoulder Extension,Shoulder Adduction,Elbow Flexion,Latissimus,Biceps,,Cable Pulldown,V-Bar Attachment,,
Pullover - Barbell - Decline - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,,,Latissimus,Pectorals,,Barbell,Decline Bench,,
Pullover - Bent-Arm - Barbell,Upperbody Vertical Pull,Compound,Shoulder Extension,,,Latissimus,Pectorals,,Barbell,,,
Pullover - Dumbbell,Upperbody Vertical Pull,Compound,Shoulder Extension,,,Latissimus,Pectorals,,Dumbbell,,,
Pullover - Dumbbell - Straight-Arm,Upperbody Vertical Pull,Compound,Shoulder Extension,,,Latissimus,Pectorals,,Dumbbell,,,
Pullover - Low Pulley - Decline - Wide-Grip,Upperbody Vertical Pull,Compound,Shoulder Extension,,,Latissimus,Pectorals,,Low Pulley,Decline Bench,,
Pullover - Low Pulley - Bent-Arm,Upperbody Vertical Pull,Compound,Shoulder Extension,,,Latissimus,Pectorals,,Low Pulley,,,
Pullover - Low Pulley,Upperbody Vertical Pull,Compound,Shoulder Extension,,,Latissimus,Pectorals,,Low Pulley,,,
Pullover - Machine,Upperbody Vertical Pull,Compound,Shoulder Extension,,,Latissimus,Pectorals,,Pullover machine,,,
Pullover - Low Pulley - Straight-Arm,Upperbody Vertical Pull,Compound,Shoulder Extension,,,Latissimus,Pectorals,,Low Pulley,,,
Arnold Press - Dumbbell - Seated,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,,Deltoids,Triceps,,Dumbbell,,,
Arnold Press - Dumbbell - Standing,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,,Deltoids,Triceps,,Dumbbell,,,
Arnold Press - Kettlebell - Seated,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,,Deltoids,Triceps,,Kettlebell,,,
Arnold Press - Kettlebell - Standing,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,,Deltoids,Triceps,,Kettlebell,,,
Band Pull Apart,Upperbody Vertical Push,Isolation,Shoulder Horizontal Abduction,,,Deltoids,External Rotators,,Band,,,
Car Drivers - Plate,Upperbody Vertical Push,Isolation,Shoulder Extension,Shoulder Flexion,,Deltoids,,,Weight Plate,,,
Chest Throw - Barbell - Supine,Upperbody Vertical Push,Plyometric,Shoulder Horizontal Adduction,,,Pectorals,Triceps,,Barbell,,,
Cuban Press - Dumbbell,Upperbody Vertical Push,Compound,Shoulder External Rotation,Shoulder Abduction,,Deltoids,External Rotators,,Dumbbell,,,
Front Raise - Barbell - Seated,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Barbell,,,
Front Raise - Barbell - Seated - Single-Arm,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Barbell,,,
Front Raise - Barbell - Standing,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Barbell,,,
Front Raise - Barbell - Standing - Single-Arm,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Barbell,,,
Front Raise - Low Pulley - Seated,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Low Pulley,,,
Front Raise - Low Pulley - Standing,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Low Pulley,,,
Front Raise - Dumbbell - Seated,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Dumbbell,,,
Front Raise - Dumbbell - Seated - Single-Arm,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Dumbbell,,,
Front Raise - Dumbbell - Standing,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Dumbbell,,,
Front Raise - Dumbbell - Standing - Single-Arm,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Dumbbell,,,
Front Raise - With Band,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Deltoids,,,Band,,,
Jerk,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Deltoids,Glutes,Quadriceps,Barbell,,,
Jerk - Balance,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Anterior Deltoid,Glutes,Quadriceps,Barbell,,,
Jerk - Blocks,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Anterior Deltoid,Glutes,Quadriceps,Barbell,,,
Jerk - Dip Squat,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Anterior Deltoid,Glutes,Quadriceps,Barbell,,,
Landmine Press,Upperbody Vertical Push,Compound,Shoulder Flexion,Shoulder Abduction,Elbow Extension,Deltoids,,,Barbell,,,
Lateral Raise - Bent Over,Upperbody Vertical Push,Isolation,Shoulder Horizontal Abduction,,,Deltoids,,,Dumbbell,,,
Lateral Raise - Bent Over - Single-Arm,Upperbody Vertical Push,Isolation,Shoulder Horizontal Abduction,,,Deltoids,External Rotators,,Dumbbell,,,
Lateral Raise - Low Pulley - Seated,Upperbody Vertical Push,Isolation,Shoulder Abduction,Scapular Upward Rotation,,Deltoids,,,Low Pulley,,,
Lateral Raise - Machine,Upperbody Vertical Push,Isolation,Shoulder Horizontal Abduction,,,Deltoids,,,Machine,,,
Lateral Raise - Seated,Upperbody Vertical Push,Isolation,Shoulder Abduction,Scapular Upward Rotation,,Deltoids,,,Dumbbell,,,
Lateral Raise - Seated - Single-Arm,Upperbody Vertical Push,Isolation,Shoulder Abduction,Scapular Upward Rotation,,Deltoids,,,Dumbbell,,,
Lateral Raise - Standing,Upperbody Vertical Push,Isolation,Shoulder Abduction,Scapular Upward Rotation,,Deltoids,,,Dumbbell,,,
Lateral Raise - Standing - Single-Arm,Upperbody Vertical Push,Isolation,Shoulder Abduction,Scapular Upward Rotation,,Deltoids,,,Dumbbell,,,
Lateral Raise - With Band,Upperbody Vertical Push,Isolation,Shoulder Abduction,Scapular Upward Rotation,,Deltoids,,,Band,,,
Lateral Raise to Front Raise - Dumbbell,Upperbody Vertical Push,Isolation,Shoulder Abduction,Shoulder Flexion,,Deltoids,,,Dumbbell,,,
Power Jerk,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Anterior Deltoid,Glutes,Quadriceps,Barbell,,,
Push Press,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Anterior Deltoid,Glutes,Quadriceps,Barbell,,,
Push Press - Behind the Neck,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Anterior Deltoid,Glutes,Quadriceps,Barbell,,,
Push-Up - Hand Stand,Upperbody Vertical Push,Compound,Shoulder Abduction,,,Deltoids,,,Bodyweight,,,
Serratus Raise - Dumbbell - Single-Arm,Upperbody Vertical Push,Isolation,Shoulder Flexion,,,Anterior Deltoid,Serratus Anterior,,Dumbbell,,,
Shoulder Press - Barbell - Seated,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Barbell,,,
Shoulder Press - Barbell - Seated - Behind Neck,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Barbell,,,
Shoulder Press - Barbell - Standing,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Barbell,,,
Shoulder Press - Barbell - Standing - Behind Neck,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Barbell,,,
Shoulder Press - Low Pulley - Alternating,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Low Pulley,,,
Shoulder Press - Low Pulley - Seated,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Low Pulley,,,
Shoulder Press - Low Pulley - Seated - Single-Arm,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Low Pulley,,,
Shoulder Press - Low Pulley - Standing,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Low Pulley,,,
Shoulder Press - Low Pulley - Standing - Single-Arm,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Low Pulley,,,
Shoulder Press - Dumbbell,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Dumbbell,,,
